,dis_id,date,state,type
2525,5f7b2c3131a8c6681cfffb0d,2012-09-23,CA,Fire
2526,5f7b2c3131a8c6681cfffb1a,2012-09-23,CA,Fire
2527,5f7b2c3131a8c6681cfffb0a,2012-10-23,CO,Fire
2528,5f7b2c3131a8c6681cfffb20,2012-10-23,CO,Fire
2529,5f7b2c3131a8c6681cfffb15,2013-05-01,CA,Fire
2530,5f7b2c3131a8c6681cfffb30,2013-05-02,CA,Fire
2531,5f7b2c3131a8c6681cfffb2a,2013-05-30,NM,Fire
2532,5f7b2c3131a8c6681cfffb33,2013-05-31,CA,Fire
2533,5f7b2c3131a8c6681cfffb56,2013-06-11,CO,Fire
2534,5f7b2c2531a8c6681cff40b0,2013-06-11,CO,Fire
2535,5f7b2c2531a8c6681cff40b2,2013-06-11,CO,Fire
2536,5f7b2c3131a8c6681cfffb50,2013-06-11,CO,Fire
2537,5f7b2c3131a8c6681cfffb52,2013-06-18,AZ,Fire
2538,5f7b2c3131a8c6681cfffb27,2013-06-19,CO,Fire
2539,5f7b2c3131a8c6681cfffb3e,2013-06-21,CO,Fire
2540,5f7b2c3131a8c6681cfffb62,2013-06-21,CO,Fire
2541,5f7b2c3131a8c6681cfffb35,2013-06-30,AZ,Fire
2542,5f7b2c3131a8c6681cfffb39,2013-07-01,AZ,Fire
2543,5f7b2c3131a8c6681cfffb4d,2013-07-04,NV,Fire
2544,5f7b2c3131a8c6681cfffb45,2013-07-18,MT,Fire
2545,5f7b2c3131a8c6681cfffb67,2013-07-19,OR,Fire
2546,5f7b2c3131a8c6681cfffb61,2013-07-27,WA,Fire
2547,5f7b2c3131a8c6681cfffb6a,2013-07-27,WA,Fire
2548,5f7b2c3131a8c6681cfffb5b,2013-07-27,OR,Fire
2549,5f7b2c3131a8c6681cfffb5d,2013-07-27,OR,Fire
2550,5f7b2c3131a8c6681cfffb8a,2013-07-28,OR,Fire
2551,5f7b2c2531a8c6681cff41b6,2013-07-29,CA,Fire
2552,5f7b2c3131a8c6681cfffb82,2013-08-05,CA,Fire
2553,5f7b2c3131a8c6681cfffb7e,2013-08-07,CA,Fire
2554,5f7b2c3131a8c6681cfffb75,2013-08-10,WA,Fire
2555,5f7b2c3131a8c6681cfffb71,2013-08-12,ID,Fire
2556,5f7b2c3131a8c6681cfffb85,2013-08-13,UT,Fire
2557,5f7b2c3131a8c6681cfffb7a,2013-08-15,ID,Fire
2558,5f7b2c3131a8c6681cfffb89,2013-08-15,ID,Fire
2559,5f7b2c3131a8c6681cfffb91,2013-08-17,OR,Fire
2560,5f7b2c3131a8c6681cfffb96,2013-08-17,OR,Fire
2561,5f7b2c2531a8c6681cff4679,2013-08-17,CA,Fire
2562,5f7b2c3131a8c6681cfffbb8,2013-08-18,MT,Fire
2563,5f7b2c3131a8c6681cfffba0,2013-08-20,WA,Fire
2564,5f7b2c3131a8c6681cfffba4,2013-08-20,CA,Fire
2565,5f7b2c3131a8c6681cfffba8,2013-08-20,CA,Fire
2566,5f7b2c3131a8c6681cfffbbd,2013-09-09,CA,Fire
2567,5f7b2c3131a8c6681cfffbae,2014-01-16,CA,Fire
2568,5f7b2c3131a8c6681cfffbb7,2014-05-05,OK,Fire
2569,5f7b2c3131a8c6681cfffbcd,2014-05-11,TX,Fire
2570,5f7b2c3131a8c6681cfffbc5,2014-05-14,CA,Fire
2571,5f7b2c3131a8c6681cfffbd3,2014-05-14,CA,Fire
2572,5f7b2c3231a8c6681cfffc59,2014-05-20,AZ,Fire
2573,5f7b2c3131a8c6681cfffbf7,2014-06-07,OR,Fire
2574,5f7b2c3131a8c6681cfffbdd,2014-07-01,CA,Fire
2575,5f7b2c2631a8c6681cff4f46,2014-07-09,WA,Fire
2576,5f7b2c2631a8c6681cff4f4f,2014-07-09,WA,Fire
2577,5f7b2c2631a8c6681cff4f53,2014-07-09,WA,Fire
2578,5f7b2c1831a8c6681cfe8144,2014-07-09,WA,Fire
2579,5f7b2c1831a8c6681cfe814b,2014-07-09,WA,Fire
2580,5f7b2c1831a8c6681cfe8162,2014-07-09,WA,Fire
2581,5f7b2c3131a8c6681cfffbd5,2014-07-09,WA,Fire
2582,5f7b2c3131a8c6681cfffbe3,2014-07-10,WA,Fire
2583,5f7b2c3131a8c6681cfffbef,2014-07-13,OR,Fire
2584,5f7b2c3131a8c6681cfffbff,2014-07-15,WA,Fire
2585,5f7b2c3131a8c6681cfffbf1,2014-07-15,WA,Fire
2586,5f7b2c3231a8c6681cfffc2a,2014-07-19,WA,Fire
2587,5f7b2c3131a8c6681cfffc04,2014-07-19,WA,Fire
